"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
882422,"July 3, 2017",Alabama,Prattville,"112 US 82",1,3,0,0,2,N/A
881921,"July 3, 2017",Michigan,Pontiac,"50 block of Thorpe St",3,1,0,0,1,N/A
881700,"July 2, 2017","New Jersey","Jersey City","Wilkinson Avenue",4,0,0,0,0,N/A
880738,"July 2, 2017","South Carolina",Greenwood,"SC 72 Bypass",4,0,0,0,1,N/A
879953,"July 1, 2017",Arkansas,"Little Rock","220 W 6th St",25,0,0,0,3,N/A
883656,"July 1, 2017",Illinois,Momence,"2727 S 13000 Rd E",4,0,0,0,0,N/A
880808,"July 1, 2017","New Jersey",Newark,"Lincoln Park and Pennsylvania Avenue",2,2,0,0,0,N/A
880813,"July 1, 2017",California,Oakland,"3200 Humboldt Ave",4,0,0,0,0,N/A
879412,"June 30, 2017","New York",Bronx,"1650 Grand Concourse",6,1,0,1,0,N/A
877295,"June 27, 2017",Illinois,Chicago,"200 block of S Lotus",5,0,0,0,0,N/A
876010,"June 25, 2017","District of Columbia",Washington,"5900 block of Southern Ave SE",4,0,0,0,0,N/A
875886,"June 25, 2017",Missouri,"Saint Louis","5000 block of Thekla Ave",3,1,0,0,0,N/A
874613,"June 24, 2017",Florida,"Fort Lauderdale","2335 NW 16th Ct",4,1,0,0,0,N/A
875322,"June 24, 2017","New York","New York (Manhattan)","114th St and Manhattan Ave",5,0,0,0,0,N/A
876076,"June 24, 2017","New Jersey",Willingboro,"Pastoral Lane",4,0,0,0,0,N/A
873847,"June 22, 2017",Georgia,Atlanta,"1100 block of Osborne Street",6,1,0,0,0,N/A
870095,"June 18, 2017",Missouri,"Saint Louis","1900 block of N 14th St",2,2,0,1,0,N/A
870222,"June 18, 2017","District of Columbia",Washington,"3100 block of Buena Vista Terrace SE",4,0,0,0,0,N/A
869877,"June 18, 2017",Illinois,Chicago,"3300 block of W Crystal St",4,0,0,0,0,N/A
869968,"June 18, 2017","South Carolina","Myrtle Beach","311 N Ocean Blvd",6,0,1,0,1,N/A
869838,"June 17, 2017",Illinois,Chicago,"50 block of N Latrobe Ave",4,0,0,0,0,N/A
869357,"June 17, 2017",Ohio,Columbus,"6252 Busch Blvd",4,1,0,0,0,N/A
868042,"June 15, 2017",Virginia,Richmond,"4053 Old Brook Road",3,1,0,0,1,N/A
868363,"June 15, 2017","New Mexico","La Madera","491 NM-111",0,5,0,0,1,N/A
866739,"June 14, 2017",Virginia,Alexandria,"420 E Monroe Ave",5,0,0,1,0,N/A
868147,"June 14, 2017",Ohio,Canton,"14th St NE and Gibbs Ave NE",4,0,0,0,0,N/A
866933,"June 14, 2017",California,"San Francisco","720 San Bruno",2,3,0,1,0,N/A
866412,"June 13, 2017",Maryland,Baltimore,"3300 block of Ayrdale Avenue",4,0,0,0,0,N/A
866448,"June 13, 2017",Maryland,Baltimore,"1200 block of Bonaparte Avenue",2,2,0,0,0,N/A
869474,"June 13, 2017",Missouri,"Saint Louis (University City)","Ferguson Ave and Plymouth Ave",4,0,0,0,0,N/A
864743,"June 11, 2017",Illinois,Chicago,"3300 block of W Douglas Blvd",9,0,0,0,0,N/A
864852,"June 11, 2017",Tennessee,Chattanooga,"4272 Bonny Oaks Drive",4,0,0,0,0,N/A
865371,"June 11, 2017",Texas,Houston,"505 Cypress Station Dr",4,0,0,0,0,N/A
865186,"June 10, 2017",Tennessee,Memphis,"571 East Street",4,0,0,0,0,N/A
864370,"June 9, 2017",Texas,"Fort Worth","East Davis Avenue and New York Avenue",5,2,0,0,0,N/A
863075,"June 8, 2017",Louisiana,"New Orleans","3650 Franklin Ave",6,0,0,0,0,N/A
861307,"June 6, 2017",Utah,Sandy,"2232 Alta Canyon Drive",2,2,0,1,0,N/A
859875,"June 5, 2017",Florida,Orlando,"2427 Forsyth Rd",0,5,0,1,0,N/A
