"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
1374920,"April 13, 2019",California,"Moreno Valley","23500 block of Alessandro Blvd",4,0,0,0,0,N/A
1370269,"April 12, 2019",Illinois,Carbondale,"119 N Washington St",4,0,0,0,3,N/A
1368597,"April 11, 2019",Maryland,Baltimore,"2200 block of Ruskin Ave",3,1,0,0,1,N/A
1369109,"April 11, 2019",California,"Los Angeles","E 103rd St and S Main St",4,1,0,0,0,N/A
1369148,"April 11, 2019",Arizona,Phoenix,"7112 W Minnezona Ave",2,3,0,0,1,N/A
1367011,"April 9, 2019",Missouri,"Kansas City","5339 Michigan Ave",3,1,0,0,0,N/A
1365052,"April 7, 2019","North Carolina","Winston Salem (Winston-salem)","515 N Cherry St",7,0,0,0,1,N/A
1365077,"April 7, 2019",Indiana,Indianapolis,"3600 block of Roosevelt Ave",2,2,0,0,0,N/A
1365173,"April 7, 2019",Delaware,Wilmington,"940 N Pine St",6,0,0,0,0,N/A
1365100,"April 7, 2019",Louisiana,Shreveport,"433 Flournoy Lucas Rd",4,0,0,0,2,N/A
1364443,"April 6, 2019",Florida,Tallahassee,"500 block of Kissimmee St",4,0,0,0,0,N/A
1364540,"April 6, 2019",Illinois,Chicago,"6300 block of S Seeley Ave",6,0,0,0,0,N/A
1363737,"April 4, 2019",Florida,"Panama City","100 block of Allen Ave",3,1,0,0,1,N/A
1362715,"April 4, 2019",Georgia,Stockbridge,"300 block of Eagle Ct",2,2,0,1,0,N/A
1362364,"April 2, 2019",Mississippi,Hermanville,"13195 MS 18",4,0,0,0,1,N/A
1362182,"April 2, 2019",Kentucky,Covington,"337 E 13th St",5,0,0,0,2,N/A
1360333,"March 31, 2019",Georgia,Atlanta,"3041 Landrum Dr SW",4,1,0,0,0,N/A
1359599,"March 31, 2019","South Carolina","North Charleston","1900 block of Jacksonville Rd",7,0,0,0,1,N/A
1359455,"March 31, 2019",Illinois,Chicago,"500 block of N Hamlin Ave",4,1,0,0,0,N/A
1357591,"March 28, 2019",Maryland,Baltimore,"6200 block of Boston St",4,0,0,0,0,N/A
1355275,"March 25, 2019",Nevada,"North Las Vegas","2400 block of W San Miguel St",5,0,0,0,2,N/A
1354049,"March 24, 2019",Arizona,Phoenix,"2202 W McDowell Rd",7,0,0,0,1,N/A
1353714,"March 23, 2019",California,"San Francisco","1300 Fillmore St",5,0,0,1,0,N/A
1350494,"March 19, 2019",Arizona,Phoenix,"8526 N 27th Ave",4,2,0,0,1,N/A
1348844,"March 17, 2019",Georgia,Augusta,"900 block of Broad St",4,0,0,0,1,N/A
1349256,"March 17, 2019",Georgia,Rochelle,"Dennis St",3,1,0,0,2,N/A
1348793,"March 17, 2019",Nevada,"Las Vegas","600 E Fremont St",4,0,0,0,3,N/A
1347974,"March 16, 2019","New Jersey",Camden,"619 Ferry Ave",3,1,0,0,1,N/A
1348291,"March 15, 2019",Alabama,Mobile,"515 Dauphin Island Pkwy",3,2,1,0,2,N/A
1347894,"March 14, 2019",Montana,Missoula,"5145 Airway Blvd",3,1,0,0,1,N/A
1344488,"March 11, 2019","New Jersey",Paterson,"291 12th Ave",4,0,0,0,0,N/A
1343330,"March 10, 2019",Louisiana,Shreveport,"2700 block of San Jacinto Ave",4,0,0,0,0,N/A
1343274,"March 10, 2019",Colorado,Denver,"15th St and Market St",4,1,0,0,1,N/A
1338860,"March 3, 2019",California,Oakland,"316 14th St",4,0,0,0,1,N/A
1338765,"March 3, 2019",Illinois,Chicago,"2900 block of E 79th St",6,0,0,0,0,N/A
1338790,"March 2, 2019",Arkansas,"Pine Bluff","723 East 25th Ave",4,1,0,0,0,N/A
1337498,"February 28, 2019",California,Oakland,"9755 Edes Ave",3,1,0,0,0,N/A
1333480,"February 22, 2019",Alabama,Birmingham,"1100 block of Carnation Dr",2,2,0,0,1,N/A
1331974,"February 21, 2019",Maryland,Baltimore,"500 block of Bloom St",4,1,0,0,0,N/A
1332507,"February 21, 2019",Kentucky,Elizabethtown,"600 N Miles St",2,2,0,0,1,N/A
1332429,"February 21, 2019",Texas,Houston,"12800 block of Eastbrook Dr",2,2,0,0,2,N/A
1332181,"February 20, 2019",Tennessee,Covington,"529 N College St",4,0,0,0,1,N/A
1329144,"February 17, 2019",Texas,Henderson,"504 S Van Buren St",2,2,0,0,1,N/A
1328792,"February 17, 2019",Indiana,Evansville,"664 E Illinois St",5,0,0,0,1,N/A
1329075,"February 17, 2019",Louisiana,"New Orleans","Tulane Ave and Elk Pl",5,0,0,1,0,N/A
1328562,"February 16, 2019",Mississippi,Clinton,"1214 Foxhill Dr",0,4,0,1,0,N/A
1327321,"February 15, 2019",Illinois,Aurora,"641 Archer Ave",6,5,0,1,0,N/A
1324279,"February 11, 2019",Texas,Livingston,"3628 FM 3126",0,4,0,1,0,N/A
1323448,"February 9, 2019",Virginia,Petersburg,"109 Perry St",4,0,0,0,0,N/A
1321021,"February 6, 2019","New York",Brooklyn,"1778 Fulton St",3,1,0,0,0,N/A
1321093,"February 5, 2019",Texas,"San Antonio","538 Hot Wells Blvd",2,2,0,0,1,N/A
1319333,"February 4, 2019","District of Columbia",Washington,"2341 Pennsylvania Ave SE",5,0,0,0,1,N/A
1319325,"February 4, 2019",Louisiana,"Baton Rouge","4000 block of Topeka St",4,0,0,0,0,N/A
1320286,"February 3, 2019",California,"Palm Springs","E Sunny Dunes Rd and El Placer Rd",0,4,0,0,1,N/A
1318391,"February 3, 2019",Illinois,Chicago,"938 E 75th St",5,2,0,0,0,N/A
1318187,"February 1, 2019",California,"San Diego","6800 block of Springfield St",4,0,0,0,0,N/A
1314289,"January 28, 2019",Texas,Houston,"7815 Harding St",3,0,2,2,2,N/A
1314253,"January 27, 2019",Alabama,Birmingham,"Avenue O and Warrior Rd",5,0,0,0,0,N/A
1312391,"January 26, 2019",Georgia,Albany,"300 block of W Roosevelt",4,0,0,0,0,N/A
1312463,"January 26, 2019",Indiana,Indianapolis,"2957 N Sherman Dr",5,0,0,0,1,N/A
1313291,"January 26, 2019","New Jersey",Newark,"612 Bergen St",3,1,0,0,0,N/A
1312284,"January 26, 2019",Louisiana,Gonzales,"42350 Church Point Rd",0,5,0,0,1,N/A
1310775,"January 24, 2019",Pennsylvania,"State College","1450 S Atherton St",1,3,0,1,0,N/A
1310397,"January 24, 2019",Georgia,Rockmart,"319 Williamson St",1,4,0,0,1,N/A
1309114,"January 23, 2019",Florida,Sebring,"1901 US 27 S",0,5,0,0,1,N/A
1306920,"January 20, 2019",Florida,Miami,"26133 SW 139th Ave",4,0,0,0,0,N/A
1305563,"January 19, 2019",Pennsylvania,Lebanon,"1140 Church St",4,0,0,0,2,N/A
1305679,"January 19, 2019","South Carolina",Gaffney,"1435 Wilcox Ave",4,1,0,0,1,N/A
1305516,"January 19, 2019",Illinois,Chicago,"4400 block of W Madison St",4,0,0,0,0,N/A
1305538,"January 19, 2019",Florida,Jacksonville,"11445 Brian Lakes Drive",2,2,0,1,0,N/A
1305294,"January 19, 2019",Texas,Houston,"7041 Sherman St",0,0,2,3,0,N/A
1303486,"January 17, 2019",Kentucky,Owensboro,"940 Audubon Ave",1,3,0,0,2,N/A
1302060,"January 16, 2019",Florida,Jacksonville,"Emerson St and Spring Park Rd",5,1,0,0,0,N/A
1303303,"January 16, 2019",California,Palmdale,"Ranch Center Dr and 40th St W",1,3,0,0,1,N/A
1301778,"January 15, 2019",Arkansas,"Little Rock","5420 Baseline Rd",3,1,1,0,1,N/A
1299680,"January 13, 2019",Arizona,Phoenix,"2445 E Van Buren St",4,1,1,0,0,N/A
1295294,"January 6, 2019","New Mexico",Roswell,"1300 block of W College Blvd",4,0,0,0,1,N/A
1293054,"January 4, 2019",California,Torrance,"22501 Hawthorne Blvd",4,3,0,0,1,N/A
1292684,"January 4, 2019",Virginia,Hurt,"3197 Shula Dr",2,2,0,1,0,N/A
1291779,"January 2, 2019",Arkansas,Jonesboro,"3516 Galaxy St",3,1,0,0,2,N/A
1289877,"January 1, 2019","South Carolina",Columbia,"1709 Decker Blvd",5,0,0,0,0,N/A
1289618,"January 1, 2019",Florida,Tallahassee,"2020 W Pensacola St",5,0,0,0,0,N/A
